id_transacao,cidade,tipo_consumidor,genero,linha_de_produto,preco_unitario,quantidade,imposto,total,data,hora,metodo_pagamento,total_sem_imposto,percentual_lucro_por_venda,avaliacao_cliente
750-67-8428,Florianópolis,Membro,Feminino,Saúde e beleza,"74,69",7,"26,1415","548,9715",01/05/2019,13:08:00,Virtual,"522,83","4,761904762","9,1"
226-31-3081,Palhoça,Normal,Feminino,Acessórios eletrônicos,"15,28",5,"3,82","80,22",03/08/2019,10:29:00,Dinheiro,"76,4","4,761904762","9,6"
631-41-3108,Florianópolis,Normal,Feminino,Casa e estilo,"46,33",7,"16,2155","340,5255",03/03/2019,13:23:00,Cartão de crédito,"324,31","4,761904762","7,4"
123-19-1176,Florianópolis,Membro,Feminino,Saúde e beleza,"58,22",8,"23,288","489,048",27/01/2019,20:33:00,Virtual,"465,76","4,761904762","8,4"
373-73-7910,Florianópolis,Membro,Feminino,Esportes e viagem,"86,31",7,"30,2085","634,3785",02/08/2019,10:37:00,Virtual,"604,17","4,761904762","5,3"
699-14-3026,Palhoça,Membro,Feminino,Acessórios eletrônicos,"85,39",7,"29,8865","627,6165",25/03/2019,18:30:00,Virtual,"597,73","4,761904762","4,1"
355-53-5943,Florianópolis,Membro,Feminino,Acessórios eletrônicos,"68,84",6,"20,652","433,692",25/02/2019,14:36:00,Virtual,"413,04","4,761904762","5,8"
315-22-5665,Palhoça,Membro,Feminino,Casa e estilo,"73,56",10,"36,78","772,38",24/02/2019,11:38:00,Virtual,"735,6","4,761904762",8
665-32-9167,Florianópolis,Membro,Feminino,Saúde e beleza,"36,26",2,"3,626","76,146",01/10/2019,17:15:00,Cartão de crédito,"72,52","4,761904762","7,2"
692-92-5582,São José,Membro,Feminino,Comidas e bebidas,"54,84",3,"8,226","172,746",20/02/2019,13:27:00,Cartão de crédito,"164,52","4,761904762","5,9"
351-62-0822,São José,Membro,Feminino,Acessórios de moda,"14,48",4,"2,896","60,816",02/06/2019,18:07:00,Virtual,"57,92","4,761904762","4,5"
529-56-3974,São José,Membro,Feminino,Acessórios eletrônicos,"25,51",4,"5,102","107,142",03/09/2019,17:03:00,Dinheiro,"102,04","4,761904762","6,8"
365-64-0515,Florianópolis,Membro,Feminino,Acessórios eletrônicos,"46,95",5,"11,7375","246,4875",02/12/2019,10:25:00,Virtual,"234,75","4,761904762","7,1"
252-56-2699,Florianópolis,Membro,Feminino,Comidas e bebidas,"43,19",10,"21,595","453,495",02/07/2019,16:48:00,Virtual,"431,9","4,761904762","8,2"
829-34-3910,Florianópolis,Membro,Feminino,Saúde e beleza,"71,38",10,"35,69","749,49",29/03/2019,19:21:00,Dinheiro,"713,8","4,761904762","5,7"
299-46-1805,São José,Membro,Feminino,Esportes e viagem,"93,72",6,"28,116","590,436",15/01/2019,16:19:00,Dinheiro,"562,32","4,761904762","4,5"
656-95-9349,Florianópolis,Membro,Feminino,Saúde e beleza,"68,93",7,"24,1255","506,6355",03/11/2019,11:03:00,Cartão de crédito,"482,51","4,761904762","4,6"
765-26-6951,Florianópolis,Membro,Feminino,Esportes e viagem,"72,61",6,"21,783","457,443",01/01/2019,10:39:00,Cartão de crédito,"435,66","4,761904762","6,9"
329-62-1586,Florianópolis,Membro,Feminino,Comidas e bebidas,"54,67",3,"8,2005","172,2105",21/01/2019,18:00:00,Cartão de crédito,"164,01","4,761904762","8,6"
319-50-3348,São José,Membro,Feminino,Casa e estilo,"40,3",2,"4,03","84,63",03/11/2019,15:30:00,Virtual,"80,6","4,761904762","4,4"
300-71-4605,Palhoça,Membro,Feminino,Acessórios eletrônicos,"86,04",5,"21,51","451,71",25/02/2019,11:24:00,Virtual,"430,2","4,761904762","4,8"
371-85-5789,São José,Membro,Feminino,Saúde e beleza,"87,98",3,"13,197","277,137",03/05/2019,10:40:00,Virtual,"263,94","4,761904762","5,1"
273-16-6619,São José,Membro,Feminino,Casa e estilo,"33,2",2,"3,32","69,72",15/03/2019,12:20:00,Cartão de crédito,"66,4","4,761904762","4,4"
636-48-8204,Florianópolis,Membro,Feminino,Acessórios eletrônicos,"34,56",5,"8,64","181,44",17/02/2019,11:15:00,Virtual,"172,8","4,761904762","9,9"
549-59-1358,Florianópolis,Membro,Feminino,Esportes e viagem,"88,63",3,"13,2945","279,1845",03/02/2019,17:36:00,Virtual,"265,89","4,761904762",6
227-03-5010,Florianópolis,Membro,Feminino,Casa e estilo,"52,59",8,"21,036","441,756",22/03/2019,19:20:00,Cartão de crédito,"420,72","4,761904762","8,5"
649-29-6775,São José,Membro,Feminino,Acessórios de moda,"33,52",1,"1,676","35,196",02/08/2019,15:31:00,Dinheiro,"33,52","4,761904762","6,7"
189-17-4241,Florianópolis,Membro,Feminino,Acessórios de moda,"87,67",2,"8,767","184,107",03/10/2019,12:17:00,Cartão de crédito,"175,34","4,761904762","7,7"
145-94-9061,São José,Membro,Feminino,Comidas e bebidas,"88,36",5,"22,09","463,89",25/01/2019,19:48:00,Dinheiro,"441,8","4,761904762","9,6"
848-62-7243,Florianópolis,Membro,Feminino,Saúde e beleza,"24,89",9,"11,2005","235,2105",15/03/2019,15:36:00,Dinheiro,"224,01","4,761904762","7,4"
871-79-8483,São José,Membro,Feminino,Acessórios de moda,"94,13",5,"23,5325","494,1825",25/02/2019,19:39:00,Cartão de crédito,"470,65","4,761904762","4,8"
149-71-6266,São José,Membro,Feminino,Esportes e viagem,"78,07",9,"35,1315","737,7615",28/01/2019,12:43:00,Dinheiro,"702,63","4,761904762","4,5"
640-49-2076,São José,Membro,Feminino,Esportes e viagem,"83,78",8,"33,512","703,752",01/10/2019,14:49:00,Dinheiro,"670,24","4,761904762","5,1"
595-11-5460,Florianópolis,Membro,Feminino,Saúde e beleza,"96,58",2,"9,658","202,818",15/03/2019,10:12:00,Cartão de crédito,"193,16","4,761904762","5,1"
183-56-6882,Palhoça,Membro,Feminino,Comidas e bebidas,"99,42",4,"19,884","417,564",02/06/2019,10:42:00,Virtual,"397,68","4,761904762","7,5"
232-16-2483,Palhoça,Membro,Feminino,Esportes e viagem,"68,12",1,"3,406","71,526",01/07/2019,12:28:00,Virtual,"68,12","4,761904762","6,8"
129-29-8530,Florianópolis,Membro,Feminino,Esportes e viagem,"62,62",5,"15,655","328,755",03/10/2019,19:15:00,Virtual,"313,1","4,761904762",7
272-65-1806,Florianópolis,Membro,Feminino,Acessórios eletrônicos,"60,88",9,"27,396","575,316",15/01/2019,17:17:00,Virtual,"547,92","4,761904762","4,7"
333-73-7901,Palhoça,Membro,Feminino,Saúde e beleza,"54,92",8,"21,968","461,328",23/03/2019,13:24:00,Virtual,"439,36","4,761904762","7,6"
777-82-7220,São José,Membro,Feminino,Casa e estilo,"30,12",8,"12,048","253,008",03/03/2019,13:01:00,Dinheiro,"240,96","4,761904762","7,7"
280-35-5823,São José,Membro,Feminino,Casa e estilo,"86,72",1,"4,336","91,056",17/01/2019,18:45:00,Virtual,"86,72","4,761904762","7,9"
554-53-8700,Palhoça,Membro,Feminino,Casa e estilo,"56,11",2,"5,611","117,831",02/02/2019,10:11:00,Dinheiro,"112,22","4,761904762","6,3"
354-25-5821,São José,Membro,Feminino,Esportes e viagem,"69,12",6,"20,736","435,456",02/08/2019,13:03:00,Dinheiro,"414,72","4,761904762","5,6"
228-96-1411,Palhoça,Membro,Feminino,Comidas e bebidas,"98,7",8,"39,48","829,08",03/04/2019,20:39:00,Dinheiro,"789,6","4,761904762","7,6"
617-15-4209,Palhoça,Membro,Feminino,Saúde e beleza,"15,37",2,"1,537","32,277",16/03/2019,19:47:00,Dinheiro,"30,74","4,761904762","7,2"
132-32-9879,São José,Membro,Feminino,Acessórios eletrônicos,"93,96",4,"18,792","394,632",03/09/2019,18:00:00,Dinheiro,"375,84","4,761904762","9,5"
370-41-7321,São José,Membro,Feminino,Saúde e beleza,"56,69",9,"25,5105","535,7205",27/02/2019,17:24:00,Cartão de crédito,"510,21","4,761904762","8,4"
727-46-3608,São José,Membro,Feminino,Comidas e bebidas,"20,01",9,"9,0045","189,0945",02/06/2019,15:47:00,Virtual,"180,09","4,761904762","4,1"
669-54-1719,São José,Membro,Feminino,Acessórios eletrônicos,"18,93",6,"5,679","119,259",02/10/2019,12:45:00,Cartão de crédito,"113,58","4,761904762","8,1"
574-22-5561,Palhoça,Membro,Feminino,Acessórios de moda,"82,63",10,"41,315","867,615",19/03/2019,17:08:00,Virtual,"826,3","4,761904762","7,9"
326-78-5178,Palhoça,Membro,Feminino,Comidas e bebidas,"91,4",7,"31,99","671,79",02/03/2019,10:19:00,Dinheiro,"639,8","4,761904762","9,5"
162-48-8011,Florianópolis,Membro,Feminino,Comidas e bebidas,"44,59",5,"11,1475","234,0975",02/10/2019,15:10:00,Dinheiro,"222,95","4,761904762","8,5"
616-24-2851,São José,Membro,Feminino,Acessórios de moda,"17,87",4,"3,574","75,054",22/03/2019,14:42:00,Virtual,"71,48","4,761904762","6,5"
